"dool 1.3.9 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","mel2084",,,,"User:","username"
"Cmdline:","dool -tTcdngym 10 --nvidia-gpu --nvidia-gpu-mem --full --color --noupdate --display --output run-4433692/dool-0.csv",,,,"Date:","28 Mar 2026 16:46:44 CET"
"system","epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/sda",,"net/enp225s0f0",,"net/ib0",,"net/ib1",,"paging",,"system",,"memory usage",,,,"gpu usage nvidia",,,,,"nv-gpu memory used",,,,
"time","epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/sda:read","dsk/sda:writ","net/enp225s0f0:recv","net/enp225s0f0:send","net/ib0:recv","net/ib0:send","net/ib1:recv","net/ib1:send","in","out","int","csw","used","free","cach","avai","total","gpu0","gpu1","gpu2","gpu3","total","gpu0","gpu1","gpu2","gpu3"
Mar-28 16:46:44,1774712804.080,2.993,0.767,96.132,0.108,0,861.486,0,106.807,52.950,0,0,0,0,0,0,0,0,10513.429,18578.108,5644165120,528224227328,6165176320,526928744448,0,0,0,0,0,2175270912,543817728,543817728,543817728,543817728
Mar-28 16:46:54,1774712814.090,1.110,0.151,98.451,0.287,0,0,0,0,0,799.200,0,36275166.400,698424.800,0,0,0,0,7693.600,31814.500,5952647168,527782924288,6297997312,526553726976,0,0,0,0,0,2175270912,543817728,543817728,543817728,543817728
Mar-28 16:47:04,1774712824.081,0.681,0.193,99.124,0.002,0,0,0,0,0,266.400,0,71845384,1076825.600,0,0,0,0,16654.600,36379.900,5931384832,527841857536,6258737152,526594039808,0,0,0,0,0,2175270912,543817728,543817728,543817728,543817728
Mar-28 16:47:14,1774712834.090,2.323,0.130,97.544,0.003,0,0,0,0,0,0,0,32944540,99232.800,0,0,0,0,9004.600,24894.800,6764724224,526908383232,6358245376,525710471168,0,0,0,0,0,2175270912,543817728,543817728,543817728,543817728
Mar-28 16:47:24,1774712844.090,1.564,0.080,98.339,0.017,0,0,0,0,0,266.400,0,2268.800,1852.800,240,0,0,0,6757.300,14617.800,7067668480,526894211072,6069596160,525558702080,0,0,0,0,0,2175270912,543817728,543817728,543817728,543817728
Mar-28 16:47:34,1774712854.090,1.304,0.086,98.599,0.011,0,0,0,0,0,585.600,149.600,58379047.200,247556.800,0,0,0,0,6518,12990.200,7082545152,526700023808,6248263680,525408129024,0,0,0,0,0,2175270912,543817728,543817728,543817728,543817728
Mar-28 16:47:44,1774712864.083,4.551,1.670,92.233,1.546,0,0,0,0,0,362.400,67.200,383604,34187.200,480,0,0,0,37876.100,80850.100,15460450304,507205840896,17323900928,519102246912,0,0,0,0,0,2175270912,543817728,543817728,543817728,543817728
Mar-28 16:47:54,1774712874.085,11.779,3.681,84.527,0.013,0,0,0,0,0,266.400,0,3855.200,1440,0,0,0,0,54700,74413.500,26509647872,486999977984,26435493888,508207091712,0,0,0,0,0,2175270912,543817728,543817728,543817728,543817728
Mar-28 16:48:04,1774712884.084,11.864,2.637,85.454,0.045,0,0,0,0,0,266.400,0,979.200,672,240,0,0,0,34762.900,52006.600,24186531840,478577246208,37137866752,507402366976,0,0,0,0,0,2175270912,543817728,543817728,543817728,543817728
Mar-28 16:48:14,1774712894.081,11.761,3.365,84.806,0.068,0,0,0,0,0,0,0,1134.400,891.200,0,0,0,0,39923,60670.700,24931336192,468971548672,45942382592,506617913344,0,0,0,0,0,2175270912,543817728,543817728,543817728,543817728
Mar-28 16:48:24,1774712904.083,11.774,3.468,84.643,0.115,0,0,0,0,0,799.200,0,705.600,672,0,0,0,0,39293.300,59772,25119588352,465739128832,48954519552,506411732992,0,0,0,0,0,2175270912,543817728,543817728,543817728,543817728
Mar-28 16:48:34,1774712914.090,11.801,3.531,84.597,0.072,0,0,0,0,0,266.400,0,945.600,672,240,0,0,0,37531.200,52036.100,26154598400,465549832192,48106905600,506449399808,0,0,0,0,0,2175270912,543817728,543817728,543817728,543817728
Mar-28 16:48:44,1774712924.090,11.838,2.438,85.717,0.006,0,0,0,0,0,0,0,1855.200,1008,240,0,0,0,29263.500,22695.700,25129627648,466616123392,48065388544,506448551936,0,0,0,0,0,2175270912,543817728,543817728,543817728,543817728
Mar-28 16:48:54,1774712934.090,11.811,2.795,85.379,0.016,0,0,0,0,0,266.400,0,2670.400,912,80,0,0,0,31358.500,30052.400,24948060160,469118803968,45745872896,506648358912,0,0,0,0,0,2175270912,543817728,543817728,543817728,543817728
Mar-28 16:49:04,1774712944.083,11.714,4.556,83.667,0.063,0,0,0,0,0,532.800,0,625.600,624,0,0,0,0,36860.500,45976.700,24479260672,477640916992,37698392064,507087388672,0,0,0,0,0,2175270912,543817728,543817728,543817728,543817728
Mar-28 16:49:14,1774712954.083,11.778,2.929,85.288,0.005,0,0,0,0,0,532.800,0,1294.400,843.200,240,0,0,0,42533.300,69435.100,25246826496,466539229184,48041402368,506291638272,0,0,0,0,0,2175270912,543817728,543817728,543817728,543817728
Mar-28 16:49:24,1774712964.088,11.756,3.572,84.613,0.059,0,0,0,0,0,777.600,0,1139.200,768,240,0,0,0,40481.900,61368.400,25365655552,464353521664,50085507072,506161410048,0,0,0,0,0,2175270912,543817728,543817728,543817728,543817728
Mar-28 16:49:34,1774712974.082,11.590,3.520,84.803,0.086,0,0,0,0,0,525.600,0,705.600,672,0,0,0,0,39086.500,58734.100,25416564736,463694778368,50694004736,506111229952,0,0,0,0,0,2175270912,543817728,543817728,543817728,543817728
Mar-28 16:49:44,1774712984.081,11.758,3.380,84.853,0.009,0,0,0,0,0,0,0,2103.200,1411.200,480,0,0,0,37813.400,57839,26269868032,465560756224,47974576128,506330943488,0,0,0,0,0,2175270912,543817728,543817728,543817728,543817728
Mar-28 16:49:54,1774712994.081,11.834,1.598,86.531,0.037,0,0,0,0,0,259.200,0,2750.400,1008,0,0,0,0,28894.900,38592,26298163200,465483038720,48026439680,506317709312,0,0,0,0,0,2175270912,543817728,543817728,543817728,543817728
